CE year,BE year,nM,dM,nV,dV,K,A,T
1984,2527,1,,1,6,205,7,15
1985,2528,2,3,2,,798,573,26
1986,2529,3,,3,,591,436,7
1987,2530,4,,4,,384,299,18
1988,2531,5,3,5,,177,162,29
1989,2532,6,,6,5,770,36,11
1990,2533,7,2,7,,563,591,21
1991,2534,8,,8,,356,454,2
1992,2535,9,,9,,149,317,13
1993,2536,10,3,10,,742,191,25
1994,2537,11,,11,5,535,54,6
1995,2538,12,,12,,328,609,16
1996,2539,13,3,13,,121,472,27
1997,2540,14,,14,,714,346,9
1998,2541,15,,15,,507,209,20
1999,2542,16,3,16,,300,72,1
2000,2543,17,,17,6,93,627,11
2001,2544,18,2,18,,686,501,23
2002,2545,19,,19,,479,364,4
2003,2546,1,,20,,272,227,15
2004,2547,2,3,21,,65,90,26
2005,2548,3,,22,5,658,656,7
2006,2549,4,,23,,451,519,18
2007,2550,5,3,24,,244,382,29
2008,2551,6,,25,,37,245,10
2009,2552,7,2,26,,630,119,22
2010,2553,8,,27,5,423,674,2
2011,2554,9,,28,,216,537,13
2012,2555,10,3,29,,9,400,24
2013,2556,11,,30,,602,274,6
2014,2557,12,,31,,395,137,17
2015,2558,13,3,32,,188,0,28
2016,2559,14,,33,6,781,566,9
2017,2560,15,,34,,574,429,20
2018,2561,16,3,35,,367,292,1
2019,2562,17,,36,,160,155,12
2020,2563,18,2,37,,753,29,24
2021,2564,19,,38,5,546,584,4
2022,2565,1,,39,,339,447,15
2023,2566,2,3,40,,132,310,26
2024,2567,3,,41,,725,184,8
2025,2568,4,,42,4,518,47,19
2026,2569,5,3,43,,311,602,29
2027,2570,6,,44,,104,465,10
2028,2571,7,2,45,,697,339,22
2029,2572,8,,46,,490,202,3
2030,2573,9,,47,5,283,65,14
2031,2574,10,3,48,,76,620,24
2032,2575,11,,49,,669,494,6
2033,2576,12,,50,,462,357,17
2034,2577,13,3,51,,255,220,28
2035,2578,14,,52,5,48,83,9
2036,2579,15,,53,,641,649,20
2037,2580,16,3,54,,434,512,1
2038,2581,17,,55,,227,375,12
2039,2582,18,2,56,,20,238,23
2040,2583,19,,57,5,613,112,5
